Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
115,6,115-6,Leaf,,,,,0.0176566914,6.68312025,
116,0,116-0,avg_bytes,30707622.0,116-1,116-2,116-2,17.9548435,30.9603291,
116,1,116-1,total_bytes,3099454.0,116-3,116-4,116-4,16.5411625,12.0161514,
116,2,116-2,Leaf,,,,,-0.00559230801,18.9441776,
116,3,116-3,Leaf,,,,,-0.00483227847,4.59535551,
116,4,116-4,Leaf,,,,,0.0179058649,7.42079639,
117,0,117-0,mean_iat,0.000159994874,117-1,117-2,117-2,14.0290699,29.3474808,
117,1,117-1,reverse_bytes,57840.0,117-3,117-4,117-4,15.699913,11.1958427,
117,2,117-2,Leaf,,,,,-0.00557841966,18.151638,
117,3,117-3,Leaf,,,,,0.0174846444,6.32214975,
117,4,117-4,Leaf,,,,,-0.00488753337,4.87369299,
118,0,118-0,iat_variance_ratio,5.24272915e-25,118-1,118-2,118-2,12.459465,28.0185261,
118,1,118-1,byte_rate,619964.562,118-3,118-4,118-4,9.66966438,12.6252594,
118,2,118-2,Leaf,,,,,-0.00553090684,15.3932667,
118,3,118-3,Leaf,,,,,-0.00473505072,3.96490288,
118,4,118-4,num_packets,190613.0,118-5,118-6,118-6,9.37462425,8.66035652,
118,5,118-5,Leaf,,,,,0.0181733537,6.54091835,
118,6,118-6,Leaf,,,,,-0.00403062394,2.11943793,
119,0,119-0,avg_bytes,3099454.0,119-1,119-2,119-2,37.2298355,30.9015255,
119,1,119-1,Leaf,,,,,0.018095253,8.16499805,
119,2,119-2,Leaf,,,,,-0.00563682942,22.7365284,
